epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7694,1.53663,4.0734,1.48047,0.38614,0.46485,0.39381,0.19059,1.64645,2.20276,1.89044,0.00332498,0.00332498,0.00332498
2,35.6639,1.44921,1.92394,1.54886,0.7758,0.79641,0.86141,0.5313,1.30757,1.11059,1.62055,0.00664513,0.00664513,0.00664513
3,52.4556,1.37544,1.44603,1.49648,0.88973,0.87742,0.92716,0.60115,1.21206,0.85907,1.50054,0.00995208,0.00995208,0.00995208
4,68.6857,1.32409,1.30807,1.46481,0.86988,0.89366,0.91711,0.59038,1.24446,0.85472,1.51864,0.0099406,0.0099406,0.0099406
5,84.9226,1.27391,1.20795,1.43057,0.9282,0.90145,0.96208,0.66044,1.11493,0.7313,1.40143,0.0099208,0.0099208,0.0099208
6,101.66,1.23331,1.12054,1.39094,0.88221,0.93163,0.97111,0.67626,1.07837,0.65307,1.36724,0.009901,0.009901,0.009901
7,118.339,1.20248,1.05506,1.373,0.94707,0.93287,0.96005,0.68428,1.04103,0.60597,1.35086,0.0098812,0.0098812,0.0098812
8,134.866,1.16268,0.98513,1.34537,0.9465,0.94412,0.98418,0.69806,1.04979,0.59091,1.34292,0.0098614,0.0098614,0.0098614
9,150.736,1.12935,0.93974,1.32583,0.94361,0.93323,0.97661,0.70848,1.01365,0.5839,1.32534,0.0098416,0.0098416,0.0098416
10,166.655,1.1019,0.90106,1.30899,0.96595,0.93441,0.98091,0.71923,1.00946,0.52099,1.32088,0.0098218,0.0098218,0.0098218
11,183.031,1.06908,0.85742,1.28131,0.96946,0.93916,0.98601,0.74886,0.93179,0.49187,1.26157,0.009802,0.009802,0.009802
12,198.994,1.04763,0.82424,1.26725,0.95788,0.98115,0.98396,0.7474,0.90815,0.48595,1.25458,0.0097822,0.0097822,0.0097822
13,215.515,1.01664,0.79033,1.25107,0.96705,0.9737,0.98434,0.75035,0.92142,0.47163,1.26318,0.0097624,0.0097624,0.0097624
14,231.925,0.99514,0.75752,1.23416,0.96377,0.9742,0.98594,0.765,0.88371,0.43968,1.23335,0.0097426,0.0097426,0.0097426
15,248.474,0.97193,0.74041,1.22729,0.96711,0.97047,0.985,0.76953,0.84418,0.43715,1.20431,0.0097228,0.0097228,0.0097228
16,264.644,0.95132,0.71092,1.20465,0.97781,0.97604,0.98876,0.80101,0.79736,0.40926,1.16818,0.009703,0.009703,0.009703
17,281.052,0.93168,0.69388,1.19787,0.95992,0.98757,0.98713,0.80187,0.78592,0.39675,1.15972,0.0096832,0.0096832,0.0096832
18,297.531,0.90818,0.67107,1.17682,0.9751,0.98035,0.98679,0.79778,0.7803,0.4001,1.15554,0.0096634,0.0096634,0.0096634
19,313.582,0.89295,0.65614,1.16873,0.98274,0.9527,0.9882,0.81262,0.74667,0.37966,1.13599,0.0096436,0.0096436,0.0096436
20,330.184,0.87778,0.64913,1.1629,0.9754,0.97901,0.98692,0.81667,0.72709,0.36818,1.11796,0.0096238,0.0096238,0.0096238
21,346.208,0.85764,0.62561,1.14905,0.97302,0.98344,0.98856,0.82416,0.7128,0.36711,1.11882,0.009604,0.009604,0.009604
22,362.956,0.83796,0.61062,1.13972,0.97856,0.97963,0.98841,0.82812,0.70599,0.35139,1.10823,0.0095842,0.0095842,0.0095842
23,379.657,0.83497,0.6105,1.13797,0.97513,0.98194,0.98788,0.83018,0.67495,0.34686,1.09431,0.0095644,0.0095644,0.0095644
24,396.358,0.81929,0.5947,1.12568,0.97422,0.98141,0.9868,0.83263,0.67621,0.34298,1.08614,0.0095446,0.0095446,0.0095446
25,412.823,0.81009,0.58875,1.12303,0.98027,0.97935,0.98574,0.83922,0.65102,0.34067,1.07515,0.0095248,0.0095248,0.0095248
26,429.578,0.79941,0.579,1.1172,0.92991,0.99167,0.98836,0.84195,0.65412,0.33316,1.08915,0.009505,0.009505,0.009505
27,446.501,0.78593,0.57261,1.10834,0.98099,0.98669,0.98876,0.84156,0.65618,0.32871,1.07891,0.0094852,0.0094852,0.0094852
28,463.506,0.77563,0.56212,1.09948,0.98202,0.98122,0.991,0.86125,0.61701,0.30937,1.05641,0.0094654,0.0094654,0.0094654
29,479.978,0.77256,0.56025,1.10083,0.98249,0.98232,0.99067,0.85146,0.61291,0.30354,1.05573,0.0094456,0.0094456,0.0094456
30,496.461,0.75673,0.55354,1.09273,0.98129,0.98135,0.98936,0.85186,0.61405,0.30832,1.0578,0.0094258,0.0094258,0.0094258
31,513.29,0.75158,0.54276,1.08647,0.98057,0.98457,0.99029,0.86134,0.60239,0.30601,1.05779,0.009406,0.009406,0.009406
32,529.035,0.74633,0.54148,1.08593,0.97468,0.98305,0.98938,0.86483,0.58955,0.30211,1.0372,0.0093862,0.0093862,0.0093862
33,545.834,0.7347,0.53334,1.07791,0.98089,0.98366,0.99034,0.86055,0.58687,0.296,1.04048,0.0093664,0.0093664,0.0093664
34,562.468,0.72353,0.52445,1.06868,0.9775,0.98269,0.98963,0.86608,0.58978,0.29923,1.04709,0.0093466,0.0093466,0.0093466
35,578.44,0.71773,0.5183,1.06577,0.9815,0.9807,0.98887,0.86983,0.57331,0.28924,1.0371,0.0093268,0.0093268,0.0093268
36,594.841,0.71482,0.51755,1.06421,0.98268,0.98408,0.98833,0.87313,0.56753,0.29688,1.03848,0.009307,0.009307,0.009307
37,610.718,0.70774,0.5142,1.06467,0.9822,0.9815,0.98869,0.87886,0.55506,0.28593,1.02954,0.0092872,0.0092872,0.0092872
38,627.519,0.70622,0.51129,1.06383,0.98094,0.98359,0.98823,0.87572,0.5422,0.28512,1.0212,0.0092674,0.0092674,0.0092674
39,644.132,0.69703,0.50494,1.05399,0.98179,0.98269,0.98971,0.87996,0.53592,0.27512,1.01922,0.0092476,0.0092476,0.0092476
40,660.68,0.68606,0.49685,1.05135,0.98118,0.9847,0.98866,0.88416,0.5288,0.27721,1.01704,0.0092278,0.0092278,0.0092278
41,677.69,0.68686,0.49759,1.04895,0.98221,0.98005,0.98817,0.88039,0.53512,0.28085,1.01969,0.009208,0.009208,0.009208
42,694.301,0.67584,0.49095,1.04396,0.98425,0.98195,0.99067,0.89277,0.50775,0.27093,1.00241,0.0091882,0.0091882,0.0091882
43,710.992,0.67299,0.48583,1.0442,0.98212,0.97972,0.99018,0.8945,0.50958,0.26923,1.0054,0.0091684,0.0091684,0.0091684
44,727.817,0.66953,0.48147,1.04056,0.98034,0.98185,0.98982,0.89295,0.51636,0.25947,1.00852,0.0091486,0.0091486,0.0091486
45,744.658,0.6655,0.47994,1.03675,0.98648,0.97998,0.99107,0.89196,0.50057,0.2544,1.00471,0.0091288,0.0091288,0.0091288
46,761.048,0.66077,0.47537,1.03446,0.98225,0.98292,0.98691,0.8871,0.50212,0.26024,1.01228,0.009109,0.009109,0.009109
47,777.761,0.65934,0.48188,1.03566,0.9805,0.98469,0.98793,0.89376,0.49746,0.26022,1.00508,0.0090892,0.0090892,0.0090892
48,794.915,0.65709,0.47879,1.03575,0.98509,0.98266,0.99075,0.89778,0.48558,0.25176,1.0033,0.0090694,0.0090694,0.0090694
49,811.096,0.65357,0.47605,1.03358,0.98442,0.98085,0.99066,0.90501,0.47911,0.25006,0.99798,0.0090496,0.0090496,0.0090496
50,826.718,0.64392,0.46768,1.02873,0.98519,0.9811,0.98973,0.90046,0.48033,0.24729,0.99744,0.0090298,0.0090298,0.0090298
51,842.964,0.64101,0.46297,1.02662,0.98165,0.98725,0.99041,0.90662,0.47473,0.24734,0.99328,0.00901,0.00901,0.00901
52,859.26,0.63791,0.46087,1.02289,0.9823,0.98449,0.98909,0.90524,0.47258,0.24593,1.00002,0.0089902,0.0089902,0.0089902
53,876.009,0.63431,0.45634,1.02342,0.98502,0.98308,0.99049,0.90404,0.47424,0.24453,0.99856,0.0089704,0.0089704,0.0089704
54,892.39,0.63139,0.4579,1.02127,0.97926,0.98424,0.99023,0.9087,0.46732,0.24624,0.998,0.0089506,0.0089506,0.0089506
55,908.97,0.63421,0.45861,1.02401,0.98091,0.98442,0.9904,0.91404,0.4593,0.24453,0.99074,0.0089308,0.0089308,0.0089308
56,925.42,0.6239,0.45271,1.01639,0.98381,0.9852,0.99105,0.91327,0.45588,0.2369,0.98661,0.008911,0.008911,0.008911
57,942.12,0.62254,0.44981,1.01868,0.98257,0.98267,0.99109,0.91447,0.4509,0.23565,0.98779,0.0088912,0.0088912,0.0088912
58,958.408,0.61685,0.44903,1.01661,0.98261,0.98062,0.99028,0.91513,0.45227,0.24493,0.98843,0.0088714,0.0088714,0.0088714
59,974.979,0.61671,0.44541,1.01343,0.98669,0.98146,0.98984,0.91776,0.44217,0.23438,0.98097,0.0088516,0.0088516,0.0088516
60,991.629,0.61644,0.4457,1.01564,0.98536,0.98267,0.99047,0.91515,0.43984,0.23596,0.98391,0.0088318,0.0088318,0.0088318
61,1008.02,0.61608,0.44212,1.01594,0.98406,0.9822,0.98994,0.91514,0.43426,0.23521,0.97989,0.008812,0.008812,0.008812
62,1024.06,0.60545,0.43833,1.00704,0.98334,0.98142,0.98984,0.92033,0.43033,0.2298,0.97169,0.0087922,0.0087922,0.0087922
63,1040.69,0.60834,0.43494,1.00873,0.98339,0.97969,0.99099,0.92105,0.43514,0.23058,0.97692,0.0087724,0.0087724,0.0087724
64,1057.08,0.59973,0.43052,1.00391,0.98409,0.98233,0.98947,0.9177,0.43565,0.23213,0.97862,0.0087526,0.0087526,0.0087526
65,1073.55,0.60419,0.43426,1.00677,0.98093,0.97706,0.98884,0.92109,0.42853,0.23431,0.97271,0.0087328,0.0087328,0.0087328
66,1090.29,0.60213,0.43455,1.00556,0.98258,0.98426,0.98805,0.91987,0.42542,0.22973,0.9729,0.008713,0.008713,0.008713
67,1106.92,0.59405,0.42695,1.00137,0.98769,0.98263,0.99054,0.92391,0.42591,0.22462,0.97083,0.0086932,0.0086932,0.0086932
68,1122.66,0.5942,0.42778,1.00218,0.98426,0.98223,0.9893,0.92467,0.41822,0.2254,0.97669,0.0086734,0.0086734,0.0086734
